Date,Product,Region,Sales,Customer_Age,Customer_Gender,Customer_Satisfaction
2022-01-01,Widget C,South,786,26,Male,2.87440724
2022-01-02,Widget D,East,850,29,Male,3.365204596
2022-01-03,Widget A,North,871,40,Female,4.547363611
2022-01-04,Widget C,South,464,31,Male,4.555420394
2022-01-05,Widget C,South,262,50,Female,3.982934935
2022-01-06,Widget D,East,147,35,Female,1.140627968
2022-01-07,Widget A,North,610,66,Male,3.300281676
2022-01-08,Widget A,South,428,58,Male,4.146333883
2022-01-09,Widget C,West,939,26,Male,1.069152179
2022-01-10,Widget B,West,215,40,Male,3.198738455
2022-01-11,Widget C,West,948,27,Female,4.431056583
2022-01-12,Widget C,North,436,36,Male,2.896408303
2022-01-13,Widget C,South,980,64,Male,1.016424812
2022-01-14,Widget C,West,836,22,Female,1.044053433
2022-01-15,Widget D,North,963,64,Female,2.66654415
2022-01-16,Widget A,West,939,69,Female,1.62003467
2022-01-17,Widget D,East,246,40,Female,3.657802628
2022-01-18,Widget D,South,674,47,Male,3.83519706
2022-01-19,Widget D,South,905,42,Male,1.711519182
2022-01-20,Widget C,North,422,45,Female,4.554133154
2022-01-21,Widget B,North,542,51,Female,2.76763138
2022-01-22,Widget A,South,936,62,Male,1.57138363
2022-01-23,Widget B,West,112,65,Male,4.057006392
2022-01-24,Widget D,West,593,64,Male,4.159898
2022-01-25,Widget D,East,800,42,Male,3.557181891
2022-01-26,Widget B,West,386,27,Male,4.413862213
2022-01-27,Widget B,North,819,31,Female,3.949491888
2022-01-28,Widget B,North,213,59,Female,4.528822949
2022-01-29,Widget D,West,579,63,Female,2.735552194
2022-01-30,Widget D,North,121,47,Female,3.990388512
2022-01-31,Widget A,South,448,58,Male,4.999006254
2022-02-01,Widget A,South,825,42,Female,3.89972479
2022-02-02,Widget D,West,782,31,Male,1.456735121
2022-02-03,Widget B,South,934,52,Male,3.07327489
2022-02-04,Widget B,South,665,69,Male,3.349391165
2022-02-05,Widget A,East,909,65,Male,1.6968427
2022-02-06,Widget D,East,419,51,Male,4.851566537
2022-02-07,Widget A,South,225,27,Male,1.702319111
2022-02-08,Widget A,West,376,52,Male,1.710231679
2022-02-09,Widget C,East,303,28,Female,4.660668552
2022-02-10,Widget C,North,293,28,Male,2.860821732
2022-02-11,Widget C,North,780,38,Female,1.252753117
2022-02-12,Widget B,North,763,38,Female,3.39275
2022-02-13,Widget D,West,646,39,Male,3.407305395
2022-02-14,Widget D,South,795,62,Male,1.258003035
2022-02-15,Widget D,North,385,24,Female,4.890089983
2022-02-16,Widget D,West,156,34,Female,3.176119861
2022-02-17,Widget C,East,833,19,Female,3.239182889
2022-02-18,Widget B,South,402,29,Female,3.080461658
2022-02-19,Widget B,East,262,59,Male,3.442927119
2022-02-20,Widget C,West,118,35,Male,2.057199011
2022-02-21,Widget B,North,469,28,Male,2.148965392
2022-02-22,Widget C,North,363,33,Female,3.045356359
2022-02-23,Widget D,West,893,66,Male,4.226743419
2022-02-24,Widget C,North,212,68,Female,1.199458306
2022-02-25,Widget D,South,587,35,Male,3.413616849
2022-02-26,Widget D,West,426,52,Female,4.22711257
2022-02-27,Widget A,East,641,43,Male,1.627669088
2022-02-28,Widget C,West,746,33,Male,1.060090168
2022-03-01,Widget A,South,678,23,Female,2.250853181
2022-03-02,Widget C,South,164,61,Female,3.352574827
2022-03-03,Widget C,West,391,60,Female,1.553132694
2022-03-04,Widget A,West,124,64,Female,2.704489484
2022-03-05,Widget A,North,648,64,Female,3.209285989
2022-03-06,Widget C,South,100,65,Male,3.395532379
2022-03-07,Widget B,West,648,59,Female,2.097646884
2022-03-08,Widget D,West,240,29,Male,2.600118544
2022-03-09,Widget A,South,843,30,Male,4.113356916
2022-03-10,Widget D,West,747,21,Male,4.764858776
2022-03-11,Widget B,North,287,56,Male,4.447521324
2022-03-12,Widget B,South,227,19,Male,3.257134007
2022-03-13,Widget B,North,300,43,Female,2.641171212
2022-03-14,Widget A,North,226,44,Female,2.331826457
2022-03-15,Widget B,North,356,44,Male,1.499826264
2022-03-16,Widget A,North,775,32,Male,1.426204989
2022-03-17,Widget B,South,646,25,Female,3.7534305
2022-03-18,Widget D,North,293,24,Female,2.039177665
2022-03-19,Widget D,North,802,64,Male,2.018646746
2022-03-20,Widget C,West,203,63,Female,4.992780218
2022-03-21,Widget D,South,634,57,Female,1.751703831
2022-03-22,Widget C,South,364,29,Female,1.592239038
2022-03-23,Widget D,East,901,30,Male,1.394740911
2022-03-24,Widget A,South,483,60,Female,3.319221381
2022-03-25,Widget D,South,359,34,Male,3.511455304
2022-03-26,Widget C,East,513,34,Male,2.460911705
2022-03-27,Widget C,South,457,53,Male,3.141653342
2022-03-28,Widget B,South,174,38,Male,4.153598124
2022-03-29,Widget A,South,454,25,Male,4.272416673
2022-03-30,Widget D,South,683,22,Female,4.831648303
2022-03-31,Widget B,East,870,43,Male,4.297071944
2022-04-01,Widget D,South,287,33,Male,3.259365747
2022-04-02,Widget D,South,784,53,Male,1.718627863
2022-04-03,Widget B,East,389,45,Female,1.399054231
2022-04-04,Widget B,West,144,46,Female,1.21804756
2022-04-05,Widget B,North,672,64,Female,3.666103327
2022-04-06,Widget B,West,182,29,Female,4.230145022
2022-04-07,Widget B,East,222,54,Female,3.034735803
2022-04-08,Widget D,North,457,47,Female,1.218856699
2022-04-09,Widget B,East,627,40,Female,3.141882298
2022-04-10,Widget A,East,165,33,Male,4.742997046
2022-04-11,Widget C,South,756,31,Male,3.390452764
2022-04-12,Widget B,North,474,27,Female,4.237709954
2022-04-13,Widget B,South,261,24,Male,4.200610594
2022-04-14,Widget D,North,845,62,Male,4.728516399
2022-04-15,Widget B,East,479,69,Female,4.080915063
2022-04-16,Widget B,East,755,54,Male,3.990802056
2022-04-17,Widget B,West,457,46,Male,1.93641066
2022-04-18,Widget D,North,287,20,Female,1.239700621
2022-04-19,Widget B,South,421,32,Male,3.07039786
2022-04-20,Widget C,West,549,53,Female,1.497736832
2022-04-21,Widget D,West,573,64,Female,4.848783505
2022-04-22,Widget C,West,112,63,Male,2.159699051
2022-04-23,Widget D,South,283,69,Male,4.411776814
2022-04-24,Widget B,West,210,36,Male,2.550498501
2022-04-25,Widget C,South,607,30,Female,2.292776999
2022-04-26,Widget D,West,389,59,Female,4.74063429
2022-04-27,Widget A,South,394,38,Female,2.453290288
2022-04-28,Widget B,East,550,54,Male,2.561151635
2022-04-29,Widget D,East,314,44,Male,1.424367118
2022-04-30,Widget A,East,731,69,Female,3.681786661
2022-05-01,Widget D,East,993,46,Male,2.155357658
2022-05-02,Widget A,East,666,37,Male,3.342416671
2022-05-03,Widget B,West,126,42,Female,3.365406816
2022-05-04,Widget C,West,729,23,Female,3.876798782
2022-05-05,Widget A,West,832,53,Male,3.980965945
2022-05-06,Widget D,South,330,19,Female,3.057809738
2022-05-07,Widget B,South,664,39,Male,2.32396779
2022-05-08,Widget A,South,906,49,Female,4.349803579
2022-05-09,Widget D,South,420,33,Female,2.239462598
2022-05-10,Widget D,East,332,35,Female,3.030036378
2022-05-11,Widget D,East,769,22,Male,2.605010333
2022-05-12,Widget A,East,536,53,Male,4.420313544
2022-05-13,Widget A,North,880,47,Female,2.727674125
2022-05-14,Widget A,West,632,62,Female,2.544396755
2022-05-15,Widget C,South,502,36,Female,3.759294772
2022-05-16,Widget A,South,152,40,Male,3.409764439
2022-05-17,Widget A,East,886,51,Female,1.428987334
2022-05-18,Widget A,South,412,30,Female,3.032675225
2022-05-19,Widget C,South,380,60,Female,3.941913553
2022-05-20,Widget A,West,825,46,Female,4.968299058
2022-05-21,Widget D,East,130,53,Male,3.516587336
2022-05-22,Widget A,West,436,39,Male,2.481172266
2022-05-23,Widget D,North,282,69,Female,1.904606399
2022-05-24,Widget D,North,122,69,Male,4.491320937
2022-05-25,Widget D,North,643,64,Male,4.258260848
2022-05-26,Widget C,East,545,53,Male,1.935691283
2022-05-27,Widget C,South,173,26,Female,1.802528361
2022-05-28,Widget C,East,109,56,Male,3.860547107
2022-05-29,Widget A,East,583,68,Male,2.259808248
2022-05-30,Widget D,South,555,36,Male,2.225595193
2022-05-31,Widget C,West,665,55,Female,1.609160988
2022-06-01,Widget C,North,663,23,Female,2.055902079
2022-06-02,Widget A,West,759,69,Male,2.71003023
2022-06-03,Widget C,North,259,64,Male,3.931353349
2022-06-04,Widget A,East,981,32,Female,2.345232378
2022-06-05,Widget B,North,113,37,Female,2.314417358
2022-06-06,Widget C,East,277,26,Male,2.13965301
2022-06-07,Widget B,West,511,49,Male,2.91313467
2022-06-08,Widget A,East,977,21,Female,1.722546792
2022-06-09,Widget D,West,152,67,Female,2.942522936
2022-06-10,Widget C,South,507,35,Male,3.816702225
2022-06-11,Widget A,South,946,22,Female,1.119162016
2022-06-12,Widget D,South,121,37,Male,1.039117521
2022-06-13,Widget D,East,129,40,Male,1.300491641
2022-06-14,Widget B,South,802,28,Male,3.142640247
2022-06-15,Widget A,North,359,54,Female,4.417820333
2022-06-16,Widget D,West,304,39,Male,1.019537864
2022-06-17,Widget C,West,158,21,Male,4.746645218
2022-06-18,Widget C,North,570,46,Female,1.425114046
2022-06-19,Widget B,East,875,61,Female,4.367934112
2022-06-20,Widget D,East,565,51,Male,2.93141906
2022-06-21,Widget A,West,111,30,Male,3.637429549
2022-06-22,Widget C,South,730,59,Female,3.042731938
2022-06-23,Widget D,East,389,26,Female,2.908192901
2022-06-24,Widget D,East,949,59,Female,4.339597713
2022-06-25,Widget B,North,859,48,Male,4.023545518
2022-06-26,Widget C,North,453,24,Male,2.933608946
2022-06-27,Widget C,South,738,21,Male,1.446543718
2022-06-28,Widget A,East,174,36,Female,1.461611837
2022-06-29,Widget C,East,972,59,Male,4.206157843
2022-06-30,Widget A,North,815,47,Female,3.117562485
2022-07-01,Widget C,East,660,48,Male,2.926356561
2022-07-02,Widget B,West,690,52,Female,3.722267365
2022-07-03,Widget C,North,540,38,Male,4.435366334
2022-07-04,Widget A,South,340,48,Male,3.515492578
2022-07-05,Widget A,North,960,36,Female,4.051391609
2022-07-06,Widget B,East,253,48,Female,4.061082096
2022-07-07,Widget C,South,885,49,Male,2.425045795
2022-07-08,Widget C,North,195,19,Female,2.096332783
2022-07-09,Widget B,West,825,69,Female,4.204656269
2022-07-10,Widget C,West,393,27,Male,2.508715167
2022-07-11,Widget C,North,308,19,Female,4.613344026
2022-07-12,Widget A,West,442,19,Male,1.278762787
2022-07-13,Widget C,West,187,41,Male,1.232870048
2022-07-14,Widget C,West,917,34,Female,4.70801664
2022-07-15,Widget B,South,875,49,Female,3.593819657
2022-07-16,Widget B,West,489,33,Male,2.518397426
2022-07-17,Widget D,West,424,33,Male,4.020241659
2022-07-18,Widget A,West,988,63,Male,3.68930724
2022-07-19,Widget C,South,931,56,Male,3.124804187
2022-07-20,Widget C,North,256,48,Male,1.395493371
2022-07-21,Widget D,East,767,60,Male,4.248718349
2022-07-22,Widget C,West,750,41,Female,4.464092763
2022-07-23,Widget A,North,732,18,Female,1.688674754
2022-07-24,Widget D,West,676,28,Female,4.402046608
2022-07-25,Widget A,South,718,38,Male,4.511389244
2022-07-26,Widget D,North,758,21,Female,3.197714449
2022-07-27,Widget D,South,236,24,Male,3.624716145
2022-07-28,Widget B,West,773,43,Male,2.52894928
2022-07-29,Widget A,West,527,64,Female,2.12716659
2022-07-30,Widget C,South,551,67,Male,3.887932588
2022-07-31,Widget C,East,711,29,Male,4.447500596
2022-08-01,Widget A,South,949,48,Male,3.616310212
2022-08-02,Widget C,West,918,34,Male,3.046362443
2022-08-03,Widget C,South,240,50,Male,1.635699067
2022-08-04,Widget A,East,182,28,Male,1.21383485
2022-08-05,Widget D,South,276,45,Female,2.782767161
2022-08-06,Widget A,East,297,49,Male,1.197398255
2022-08-07,Widget D,East,723,18,Male,3.277338528
2022-08-08,Widget C,South,667,64,Male,2.530916765
2022-08-09,Widget C,South,790,45,Male,4.028756479
2022-08-10,Widget C,North,520,59,Female,2.222593987
2022-08-11,Widget B,West,500,24,Female,3.371930804
2022-08-12,Widget D,East,797,19,Male,3.150734087
2022-08-13,Widget B,North,570,59,Male,1.018849702
2022-08-14,Widget B,South,317,41,Male,1.289557593
2022-08-15,Widget A,West,927,21,Female,2.16147285
2022-08-16,Widget B,North,828,61,Female,4.528940324
